Input,Expected Output
IT kiyannee harima aasa hithena Subject ekak. haebaeyi IT igenaganna leesi nam naee. eekata mahansi venna oona.Job thiyanavaa kiyalaa hithan IT thooraganna epaa aasaavak naeththan.ehema vunoth oyaata issarahata yanna baeriveyi. Theory dhaenuma vageema SKILL ekath oone IT valin issarahata yannanam. eeka nisaa oyaa aasa issarahata yanna puLuvan viShayak thooraganna.onna passe kivve naee kiyanna epaa.,IT කියන්නේ හරිම ආස හිතෙන Subject එකක්. හැබැයි IT ඉගෙනගන්න ලේසි නම් නෑ. ඒකට මහන්සි වෙන්න ඕන.Job තියනවා කියලා හිතන් IT තෝරගන්න එපා ආසාවක් නැත්තන්.එහෙම වුනොත් ඔයාට ඉස්සරහට යන්න බැරිවෙයි. Theory දැනුම වගේම SKILL එකත් ඕනෙ IT වලින් ඉස්සරහට යන්නනම්. ඒක නිසා ඔයා ආස ඉස්සරහට යන්න පුළුවන් විෂයක් තෝරගන්න.ඔන්න පස්සෙ කිව්වෙ නෑ කියන්න එපා.
,
,
,
"apee thaaththaa rata idhan edhdhii USD 15000 genaavaa, hariyatama kivvoth Rs. 4500000 vagee venavaa.","අපේ තාත්තා රට ඉදන් එද්දී USD 15000 ගෙනාවා, හරියටම කිව්වොත් Rs. 4500000 වගේ වෙනවා."
,
,
,
mama kanavaa haebaeyi kiribath thibboth vitharayi mama kanne.,මම කනවා හැබැයි කිරිබත් තිබ්බොත් විතරයි මම කන්නෙ.
,
,
,
mama Shopping yanava oyath kaemathinam enna.,මම Shopping යනව ඔයත් කැමතිනම් එන්න.
,
,
,
adoo oyaa nam supiri vaeddek machan !,අඩෝ ඔයා නම් සුපිරි වැඩ්ඩෙක් මචන් !
,
,
,
"mee haloo ara Video ekee Link eka mata evannakoo, haebaeyi Whatsapp eken epaa, Tiktok eken evanna, mata Whatsapp Online yanna baee eekayi.","මේ හලෝ අර Video එකේ Link එක මට එවන්නකෝ, හැබැයි Whatsapp එකෙන් එපා, Tiktok එකෙන් එවන්න, මට Whatsapp Online යන්න බෑ ඒකයි."
,
,
,
palayan yanna methanin pissaa !,පලයන් යන්න මෙතනින් පිස්සා !
,
,
,
dhaen oyaagee badee amaaruva hoDHAyidha imaashaa?,දැන් ඔයාගේ බඩේ අමාරුව හොඳයිද ඉමාශා?
,
,
,
""" mokak ! maara manussayeknee oyaa?"" nimal esee paevasuveeya.",""" මොකක් ! මාර මනුස්සයෙක්නේ ඔයා?"" නිමල් එසේ පැවසුවේය."
,
,
,
hari mata ooka oona poddak inna mama taggaalaa ennam.,හරි මට ඕක ඕන පොඩ්ඩක් ඉන්න මම ටග්ගාලා එන්නම්.
,
,
,
kathaa karanna epaa bimata nam bahinne naee.,කතා කරන්න එපා බිමට නම් බහින්නෙ නෑ.
,
,
,
"mama nam ehema karannee naee machaQQ, uBA dhannavanee mQQ gaena.","මම නම් එහෙම කරන්නේ නෑ මචං, උඹ දන්නවනේ මං ගැන."
,
,
,
api ehenam himiita himiita ara paeththata yamu.,අපි එහෙනම් හිමීට හිමීට අර පැත්තට යමු.
,
,
,
"Technology kiyanne apee jiivithee leesi karanna laebunu dheyak.Technology vala vaasi godaak thiyenavaa. 

 eya apee vaeda pahasu karaganna godak udhavu karanavaa,apee velaava godak  ee nisaa ithuru venavaa .
haebaeyi Technology harividhiyata paavichchi karanna api igena ganna oona.mokadha naeththan apita avaasi laebenna puluvan, eenisaa api harividhiyata mee Technology paavichchi karanna igenaganna oona.                   ","Technology කියන්නෙ අපේ ජීවිතේ ලේසි කරන්න ලැබුනු දෙයක්.Technology වල වාසි ගොඩාක් තියෙනවා. 

 එය අපේ වැඩ පහසු කරගන්න ගොඩක් උදවු කරනවා,අපේ වෙලාව ගොඩක්  ඒ නිසා ඉතුරු වෙනවා .
හැබැයි Technology හරිවිදියට පාවිච්චි කරන්න අපි ඉගෙන ගන්න ඕන.මොකද නැත්තන් අපිට අවාසි ලැබෙන්න පුලුවන්, ඒනිසා අපි හරිවිදියට මේ Technology පාවිච්චි කරන්න ඉගෙනගන්න ඕන.                  "
,
,
,
"mee haloo oyaa enavaadha adha maath ekka Shopping yanna, enavanam 2.30 PM valata kalin kiyanna.","මේ හලෝ ඔයා එනවාද අද මාත් එක්ක Shopping යන්න, එනවනම් 2.30 PM වලට කලින් කියන්න."
,
,
,
mama thoose kanavaa.,මම තෝසෙ කනවා.
,
,
,
api apee gedhara vaeda dhaenma patangamu parakkuvunoth apita ivara karaganna velaava madhiveyi kiyalaa oyaata hithenne naedhdha?,අපි අපේ ගෙදර වැඩ දැන්ම පටන්ගමු පරක්කුවුනොත් අපිට ඉවර කරගන්න වෙලාව මදිවෙයි කියලා ඔයාට හිතෙන්නෙ නැද්ද?
,
,
,
monavaa! ehema venna baeene?,මොනවා! එහෙම වෙන්න බෑනෙ?
,
,
,
mama    uda    thattuvata    yanavaa.,මම    උඩ    තට්ටුවට    යනවා.
,
,
,
oyaata ikman suvaya labeevaa!,ඔයාට ඉක්මන් සුවය ලබේවා!
,
,
,
"mama raeeta kanavaa,haebaeyi mama kanadheyak thibboth vitharayi naeththan mata kanna baee.","මම රෑට කනවා,හැබැයි මම කනදෙයක් තිබ්බොත් විතරයි නැත්තන් මට කන්න බෑ."
,
,
,
mata siini 250 g k dhenna mudhalaali.,මට සීනි 250 g ක් දෙන්න මුදලාලි.
,
,
,
"hari hari anee oyaa dhukvenna epaa,mama innavanee api ooka tika tika balamu.","හරි හරි අනේ ඔයා දුක්වෙන්න එපා,මම ඉන්නවනේ අපි ඕක ටික ටික බලමු."
,
,
,
anee palayan gon vassoo yanna !,අනේ පලයන් ගොන් වස්සෝ යන්න !
,
,
,
poddakkinna mama gavumak dhaagena ennam iitapassee api dhennama yan chuun paan eka allanna.,පොඩ්ඩක්කින්න මම ගවුමක් දාගෙන එන්නම් ඊටපස්සේ අපි දෙන්නම යන් චූන් පාන් එක අල්ලන්න.
,
,
,
man dhannee naee oyaa rata giyapu bavak mathakvunaanam mama kathaa karanavanee.,man දන්නේ නෑ ඔයා රට ගියපු බවක් මතක්වුනානම් මම කතා කරනවනේ.
,
,
,
mama viBhaagee paas velaa kaempas yanavvaa .,මම විභාගේ පාස් වෙලා කැම්පස් යනව්වා .
,
,
,
mama mee seeramakannam oyaa dhavalta kaeevaa needha?,මම මේ සේරමකන්නම් ඔයා දවල්ට කෑවා නේද?
,
,
,
mee okkoma kaeema oyaata ithurukaranna epaa godakkanna.,මේ ඔක්කොම කෑම ඔයාට ඉතුරුකරන්න එපා ගොඩක්කන්න.
,
,
,
man ennam aaye oyaava balanna man ehema kaavavath amathaka karanne naee leesiyen.,man එන්නම් ආයෙ ඔයාව බලන්න man එහෙම කාවවත් අමතක කරන්නේ නෑ ලේසියෙන්.
,
,
,
puus paetiyata api beheth povvamudha?,පූස් පැටියට අපි බෙහෙත් පොව්වමුද?
,
,
,
ane poddakkinnakoo maath enakam.,අනෙ පොඩ්ඩක්කින්නකෝ මාත් එනකම්.
,
,
,
